X,Y,OBJECTID,name_e,nom_f,Label_e,Etiquette_f,min_scale_echelle,max_scale_echelle,url_e,url_f,Facility_Type_Installation,Public_Access,Accessible
-118.118808561826384,52.479612890400354,164596,Scott Camp ,Camp Scott,Scott Camp ,Camp Scott,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.409309125021082,52.488369738267473,164597,Avalanche ,,Avalanche ,,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.876924809931808,52.509406697431153,164598,Headwall ,Headwall,Headwall ,Headwall,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.8570110708973,52.532523113070255,164599,"Brussels 
",Brussels,"Brussels 
",Brussels,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-118.067430459741772,52.543372310497247,164600,"Middle Forks 
",Middle Forks,"Middle Forks 
",Middle Forks,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-116.902938874118192,52.559139804134865,164601,"Isaac Creek
",Ruisseau-Isaac,"Isaac Creek
",Ruisseau-Isaac,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.818935136054421,52.575514807490833,164602,"Lower Fryatt 
",Fryatt-Inférieur,"Lower Fryatt 
",Fryatt-Inférieur,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.944791979052468,52.587622565108511,164603,Second Geraldine ,Deuxième-Lac-Geraldine,Second Geraldine ,Deuxième-Lac-Geraldine,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.423181888078986,52.596253855367749,164604,"Coronet Creek 
",Ruisseau-Coronet,"Coronet Creek 
",Ruisseau-Coronet,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-118.035689215338934,52.601939460081198,164605,Tie Camp ,Camp-Tie,Tie Camp ,Camp-Tie,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.993463557266352,52.626991425649095,164606,Whirlpool ,Whirlpool,Whirlpool ,Whirlpool,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-116.858202392625344,52.654110386344996,164607,Southesk ,Southesk,Southesk ,Southesk,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.503252494855857,52.653585190453548,164608,"Fisherman's Bay  
",Baie-Fisherman’s,"Fisherman's Bay  
",Baie-Fisherman’s,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-116.958931219357098,52.656552458478416,164609,Cairn River ,Rivière-Cairn,Cairn River ,Rivière-Cairn,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-118.20105161540026,52.678424514240653,164610,Switchback ,Switchback,Switchback ,Switchback,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-118.249211606742435,52.679622393726653,164611,Surprise Point ,Pointe-Surprise,Surprise Point ,Pointe-Surprise,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-118.144390616227113,52.682255391018032,164612,Astoria ,Astoria,Astoria ,Astoria,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-118.239990616549875,52.693792805620618,164613,"Clitheroe 
",Clitheroe,"Clitheroe 
",Clitheroe,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.101386932332488,52.707300260515339,164614,"Cairn Pass 
",Col-Cairn,"Cairn Pass 
",Col-Cairn,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-118.26606051065346,52.703919207604393,164615,Amethyst ,Amethyst,Amethyst ,Amethyst,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-118.265272903033136,52.729901007687346,164616,"Maccarib 
",Maccarib,"Maccarib 
",Maccarib,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-117.729999463399537,52.734759446592626,164617,Little Shovel ,Little Shovel,Little Shovel ,Little Shovel,,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
