"REF_DATE","GEO","DGUID","Population characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Newfoundland and Labrador","2016A000210","Total private dwellings","Number","223","units ","0","v32163776","2.13","131665","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Urban private dwellings","Number","223","units ","0","v52149997","2.16","80148","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Rural private dwellings","Number","223","units ","0","v52150012","2.17","51517","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Private dwelling density","Number per square kilometre","229","units ","0","v32163777","2.14","0.4","","","","1"
"1976","Newfoundland and Labrador","2016A000210","Population per private dwelling","Number","223","units ","0","v32163778","2.15","4.2","","","","1"
"1976","Newfoundland and Labrador","2016A000210","Population per urban private dwelling","Number","223","units ","0","v52150027","2.18","4.1","","","","1"
"1976","Newfoundland and Labrador","2016A000210","Population per rural private dwelling","Number","223","units ","0","v52150042","2.19","4.5","","","","1"
"1976","Prince Edward Island","2016A000211","Total population","Number","223","units ","0","v32163779","3.1","118229","","","","0"
"1976","Prince Edward Island","2016A000211","Urban population","Number","223","units ","0","v32163783","3.5","43875","","","","0"
"1976","Prince Edward Island","2016A000211","Rural population","Number","223","units ","0","v32163787","3.9","74355","","","","0"
"1976","Prince Edward Island","2016A000211","Total population density","Number per square kilometre","229","units ","0","v32163782","3.4","20.8","","","","1"
"1976","Prince Edward Island","2016A000211","Urban population as a share of total population","Percent","239","units ","0","v32163786","3.8","37.1","","","","1"
"1976","Prince Edward Island","2016A000211","Rural population as a share of total population","Percent","239","units ","0","v32163790","3.12","62.9","","","","1"
"1976","Prince Edward Island","2016A000211","Total private dwellings","Number","223","units ","0","v32163791","3.13","32929","","","","0"
"1976","Prince Edward Island","2016A000211","Urban private dwellings","Number","223","units ","0","v52149998","3.16","12967","","","","0"
"1976","Prince Edward Island","2016A000211","Rural private dwellings","Number","223","units ","0","v52150013","3.17","19962","","","","0"
"1976","Prince Edward Island","2016A000211","Private dwelling density","Number per square kilometre","229","units ","0","v32163792","3.14","5.8","","","","1"
"1976","Prince Edward Island","2016A000211","Population per private dwelling","Number","223","units ","0","v32163793","3.15","3.6","","","","1"
"1976","Prince Edward Island","2016A000211","Population per urban private dwelling","Number","223","units ","0","v52150028","3.18","3.4","","","","1"
"1976","Prince Edward Island","2016A000211","Population per rural private dwelling","Number","223","units ","0","v52150043","3.19","3.7","","","","1"
"1976","Nova Scotia","2016A000212","Total population","Number","223","units ","0","v32163794","4.1","828571","","","","0"
"1976","Nova Scotia","2016A000212","Urban population","Number","223","units ","0","v32163798","4.5","462585","","","","0"
"1976","Nova Scotia","2016A000212","Rural population","Number","223","units ","0","v32163802","4.9","365985","","","","0"
"1976","Nova Scotia","2016A000212","Total population density","Number per square kilometre","229","units ","0","v32163797","4.4","15.7","","","","1"
"1976","Nova Scotia","2016A000212","Urban population as a share of total population","Percent","239","units ","0","v32163801","4.8","55.8","","","","1"
"1976","Nova Scotia","2016A000212","Rural population as a share of total population","Percent","239","units ","0","v32163805","4.12","44.2","","","","1"
"1976","Nova Scotia","2016A000212","Total private dwellings","Number","223","units ","0","v32163806","4.13","243097","","","","0"
"1976","Nova Scotia","2016A000212","Urban private dwellings","Number","223","units ","0","v52149999","4.16","139543","","","","0"
"1976","Nova Scotia","2016A000212","Rural private dwellings","Number","223","units ","0","v52150014","4.17","103554","","","","0"
"1976","Nova Scotia","2016A000212","Private dwelling density","Number per square kilometre","229","units ","0","v32163807","4.14","4.6","","","","1"
"1976","Nova Scotia","2016A000212","Population per private dwelling","Number","223","units ","0","v32163808","4.15","3.4","","","","1"
"1976","Nova Scotia","2016A000212","Population per urban private dwelling","Number","223","units ","0","v52150029","4.18","3.3","","","","1"
"1976","Nova Scotia","2016A000212","Population per rural private dwelling","Number","223","units ","0","v52150044","4.19","3.5","","","","1"
"1976","New Brunswick","2016A000213","Total population","Number","223","units ","0","v32163809","5.1","677249","","","","0"
"1976","New Brunswick","2016A000213","Urban population","Number","223","units ","0","v32163813","5.5","354415","","","","0"
"1976","New Brunswick","2016A000213","Rural population","Number","223","units ","0","v32163817","5.9","322830","","","","0"
"1976","New Brunswick","2016A000213","Total population density","Number per square kilometre","229","units ","0","v32163812","5.4","9.5","","","","1"
"1976","New Brunswick","2016A000213","Urban population as a share of total population","Percent","239","units ","0","v32163816","5.8","52.3","","","","1"
"1976","New Brunswick","2016A000213","Rural population as a share of total population","Percent","239","units ","0","v32163820","5.12","47.7","","","","1"
"1976","New Brunswick","2016A000213","Total private dwellings","Number","223","units ","0","v32163821","5.13","190435","","","","0"
"1976","New Brunswick","2016A000213","Urban private dwellings","Number","223","units ","0","v52150000","5.16","105792","","","","0"
"1976","New Brunswick","2016A000213","Rural private dwellings","Number","223","units ","0","v52150015","5.17","84643","","","","0"
"1976","New Brunswick","2016A000213","Private dwelling density","Number per square kilometre","229","units ","0","v32163822","5.14","2.7","","","","1"
"1976","New Brunswick","2016A000213","Population per private dwelling","Number","223","units ","0","v32163823","5.15","3.6","","","","1"
"1976","New Brunswick","2016A000213","Population per urban private dwelling","Number","223","units ","0","v52150030","5.18","3.4","","","","1"
"1976","New Brunswick","2016A000213","Population per rural private dwelling","Number","223","units ","0","v52150045","5.19","3.8","","","","1"
"1976","Quebec","2016A000224","Total population","Number","223","units ","0","v32163824","6.1","6234445","","","","0"
"1976","Quebec","2016A000224","Urban population","Number","223","units ","0","v32163828","6.5","4932760","","","","0"
"1976","Quebec","2016A000224","Rural population","Number","223","units ","0","v32163832","6.9","1301700","","","","0"
"1976","Quebec","2016A000224","Total population density","Number per square kilometre","229","units ","0","v32163827","6.4","4.6","","","","1"
"1976","Quebec","2016A000224","Urban population as a share of total population","Percent","239","units ","0","v32163831","6.8","79.1","","","","1"
"1976","Quebec","2016A000224","Rural population as a share of total population","Percent","239","units ","0","v32163835","6.12","20.9","","","","1"
"1976","Quebec","2016A000224","Total private dwellings","Number","223","units ","0","v32163836","6.13","1894111","","","","0"
"1976","Quebec","2016A000224","Urban private dwellings","Number","223","units ","0","v52150001","6.16","1557880","","","","0"
"1976","Quebec","2016A000224","Rural private dwellings","Number","223","units ","0","v52150016","6.17","336231","","","","0"
"1976","Quebec","2016A000224","Private dwelling density","Number per square kilometre","229","units ","0","v32163837","6.14","1.4","","","","1"
"1976","Quebec","2016A000224","Population per private dwelling","Number","223","units ","0","v32163838","6.15","3.3","","","","1"
"1976","Quebec","2016A000224","Population per urban private dwelling","Number","223","units ","0","v52150031","6.18","3.2","","","","1"
